Inventory ID (OPTIONAL),Artist Name ,Title ,Year ,Price ,Medium ,Materials ,Height ,Width ,Depth,Certificate of Authenticity ,Signature ,Classification 
KG-1100,Unknown Artist,Rama and Sita Enthroned,1730,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,9.0,6.0,,,,"Drawing, Collage or other Work on Paper"
KG-1101,Unknown Artist,Vihit Hava: Illustration to a Rasikapriya Series,1830,60000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,6.0,8.0,,,,"Drawing, Collage or other Work on Paper"
KG-1102,Unknown Artist,Sidh Sen,,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1103,Unknown Artist,Parashurama Rama with the Axe Slays the Many Armed King Karthavirya,1820,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1104,Unknown Artist,Shiva and Parvati on Mount Kailasa,1820,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1105,Unknown Artist,Krishna adorns Radha with a Tilak,1800,12000.0,Opaque watercolor on paper,Opaque watercolor on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1106,Unknown Artist,Kamrup and friends at sea from an Urdu version of the Qissa-i Kamrup va Kamlata,1800,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1107,Unknown Artist,The Shipwreck of Kamrup's Vessel from an Urdu version of the Qissa-i Kamrup va Kamlata,1800,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1108,Unknown Artist,Majnun in the Wilderness,1601,,Opaque watercolor on paper heightened with gold,Opaque watercolor on paper heightened with gold,,,,,,"Drawing, Collage or other Work on Paper"
KG-1109,Unknown Artist,The Descent of the Holy Family from Kailasha,1700,,Opaque watercolor on paper heightened with gold,Opaque watercolor on paper heightened with gold,,,,,,"Drawing, Collage or other Work on Paper"
KG-1110,Unknown Artist,A Prince and His Consort Strolling In a Garden,1800,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1114,Unknown Artist,Architrave,1001,,Mottled pink sandstone,Mottled pink sandstone,,,,,,Sculpture
KG-1115,Unknown Artist,A Mughal Officer,1701,,Ink on paper,Ink on paper,5.0,5.0,,,,"Drawing, Collage or other Work on Paper"
KG-1116,Unknown Artist,Maharaja Vijay Singh,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,7.0,5.0,,,,"Drawing, Collage or other Work on Paper"
KG-1117,Unknown Artist,Prince Seated on a Yellow Carpet,1701,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1118,Unknown Artist,Maharao Umed Singh I of Kotah,1701,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1119,Unknown Artist,Rao Bishan Singh Watching an Elephant Fight,1804,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1120,Unknown Artist,Kumar Kishen Singh of Bundi Hunting,1720,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1121,Unknown Artist,Maharao Ram Singh of Bundi Holding a Blossom,1801,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1122,Unknown Artist,Maharaja Ram Singh of Bundi,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,15.0,10.0,,,,"Drawing, Collage or other Work on Paper"
KG-1123,Unknown Artist,Maharao Ram Singh II of Kotah & Maharao Ram Singh of Bundi,1801,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1124,Unknown Artist,Maharao Ram Singh II Taming a Black Buck,1880,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1125,Unknown Artist,Maharao Ram Singh of Bundi,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1126,Unknown Artist,Kunwar Jasodh Singh,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1127,Unknown Artist,Equestrian Portrait,1840,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1128,Unknown Artist,A Hunting Party In Battle With a Tiger,1701,,Ink and gouache on paper,Ink and gouache on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1129,Unknown Artist,European Lady Drinking Wine,1800,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1130,Unknown Artist,"The Mughal Emperor Farrukhsiyar (reg. 1713-1719) Standing, Holding a Flower",1701,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1131,Unknown Artist,Maharaja Jagat Singh,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,10.0,6.0,,,,"Drawing, Collage or other Work on Paper"
KG-1132,Unknown Artist,Portrait of a Prince,1800,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1133,Unknown Artist,Prince on Horse Back,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1134,Unknown Artist,Hunting Procession,,12000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1135,Unknown Artist,Maharaja Raj Singh of Sawar with his Children,1710,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,8.0,9.0,,,,"Drawing, Collage or other Work on Paper"
KG-1136,Unknown Artist,Raja Karan Singh (1621-1628),1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,10.0,7.0,,,,"Drawing, Collage or other Work on Paper"
KG-1137,Unknown Artist,Portrait of Maharana Jai Singh (1680-1698) of Mewar,1720,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1138,Unknown Artist,Maharana Sangram Singh II performing Puja before an image of Krishna,1720,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,21.0,16.0,,,,"Drawing, Collage or other Work on Paper"
KG-1139,Unknown Artist,Maharana Ari Singh (1762-1772) Smoking Hookah,1819,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,12.0,9.0,,,,"Drawing, Collage or other Work on Paper"
KG-1140,Unknown Artist,A Portrait of the Stallion Sitaraj (from stable of Ari Singh),1761,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1141,Unknown Artist,Maharana Jawan Singh with Rawat Dule Singh and Sirdar Singh,1884,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1142,Unknown Artist,Maharana Bhim Singh Riding a Caparisoned Elephant,1820,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,11.0,8.0,,,,"Drawing, Collage or other Work on Paper"
KG-1143,Unknown Artist,Maharana Bhim Singh in a Durbar,1820,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,9.0,13.0,,,,"Drawing, Collage or other Work on Paper"
KG-1144,Unknown Artist,Maharana Bhim Singh (1778-1828) with a Lady and Child,1790,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1145,Unknown Artist,Maharaja Bhim Singh (1778-1828) on Horseback with an Attendant: Attributed to Bahgta Choka,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,12.0,9.0,,,,"Drawing, Collage or other Work on Paper"
KG-1146,Unknown Artist,Maharaja Fateh Singh of Udaipur,1900,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,17.0,12.0,,,,"Drawing, Collage or other Work on Paper"
KG-1147,Unknown Artist,Dauji II Throwing a Spear (as a Mounted Warrior),1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1148,Unknown Artist,Maharaja Surat Singh of Bikaner,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,8.7,6.0,,,,"Drawing, Collage or other Work on Paper"
KG-1149,Unknown Artist,Maharaja Jai Chand Ji at Leisure,1800,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,11.0,8.0,,,,"Drawing, Collage or other Work on Paper"
KG-1150,Unknown Artist,Hookah Portrait,,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,11.0,8.0,,,,"Drawing, Collage or other Work on Paper"
KG-1151,Unknown Artist,A Sisodian Nobleman (Rao Shri Rhoulmasi),1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,8.0,4.0,,,,"Drawing, Collage or other Work on Paper"
KG-1152,Unknown Artist,Sisodian Warrior,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,12.0,8.0,,,,"Drawing, Collage or other Work on Paper"
KG-1153,Unknown Artist,Maharaja in a Durbar,,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,14.0,9.0,,,,"Drawing, Collage or other Work on Paper"
KG-1154,Unknown Artist,Erotic scene depicting a European couple,1700,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,7.0,5.0,,,,"Drawing, Collage or other Work on Paper"
KG-1155,Unknown Artist,European Caricature,1850,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,9.0,12.0,,,,"Drawing, Collage or other Work on Paper"
KG-1156,Unknown Artist,Grey Beard Nobleman,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,9.0,,,,,"Drawing, Collage or other Work on Paper"
KG-1157,Unknown Artist,Nath Singh seated on a terrace with courtiers,1750,,Gouache heightened with gold and silver on paper,Gouache heightened with gold and silver on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1158,Unknown Artist,Court scene,,,Gouache on paper,Gouache on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1159,Unknown Artist,Hookah smoker,1800,,Ink and gouache on wasli paper,Ink and gouache on wasli paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1160,Unknown Artist,Ra Mal Deo (Maldev Rathore),1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1161,Unknown Artist,A Portrait of Rao Maldev Rathore,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1162,Unknown Artist,Maharaja Jaswant Singh on horseback,1840,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,10.0,8.0,,,,"Drawing, Collage or other Work on Paper"
KG-1163,Unknown Artist,Durgadas Rathore on Horseback,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1164,Unknown Artist,Maharaja Abhai Singh,1830,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,8.0,11.0,,,,"Drawing, Collage or other Work on Paper"
KG-1165,Unknown Artist,Maharaja Abhai Singh Receiving Thakur Bhandari Girdhar Das,1725,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,12.0,9.0,,,,"Drawing, Collage or other Work on Paper"
KG-1166,Unknown Artist,Maharaja Vijay Singh enthroned,1805,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,10.0,15.0,,,,"Drawing, Collage or other Work on Paper"
KG-1167,Unknown Artist,Maharaja Vijay Singh riding a horse,1701,,Tempera on paper,Tempera on paper,11.4,9.1,,,,"Drawing, Collage or other Work on Paper"
KG-1168,Unknown Artist,Portrait of Chapwat Biral Das Ji,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1169,Unknown Artist,Portrait of Faruq Shah,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1170,Unknown Artist,Raja Fateh Singh Riding to Battle,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1171,Unknown Artist,Raja on horseback,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1173,Unknown Artist,Equestrian Portrait,1800,,Tempera on paper,Tempera on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1174,Unknown Artist,A Commemorative Portrait of Maharaja Rai Singh,1801,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,5.0,4.0,,,,"Drawing, Collage or other Work on Paper"
KG-1175,Unknown Artist,A standing prince,1801,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1176,Unknown Artist,Portrait of a Prince,1801,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1177,Unknown Artist,Dancing Woman,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1179,Unknown Artist,A Maiden with an Open Book,1901,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1180,Unknown Artist,Untitled,,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1181,Unknown Artist,Man Sniffing a Flower,1938,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1182,Unknown Artist,Portrait of a Seated Prince,1801,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1183,Unknown Artist,Shri Shri Shri Haharj Harvansh Singh In Harem,1801,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1184,Unknown Artist,Coronation of a Maharaja,1800,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1185,Unknown Artist,Sansar Chand's Marriage Procession,,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1186,Unknown Artist,Nobleman Paying Homage to Ganesha,1810,80000.0,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1187,Unknown Artist,Seated Nobleman on a Terrace,1750,50000.0,Gouache heightened with gold on paper,Gouache heightened with gold on paper,7.0,5.0,,,,"Drawing, Collage or other Work on Paper"
KG-1188,Unknown Artist,A seated portrait of Raja Abhiraj Singh Jaswal of Jaswan,1760,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1189,Unknown Artist,A Nobleman Holding a Hunting Falcon,1790,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1190,Unknown Artist,Raja Prakash Chand of Guler Smoking (Check inscription),1790,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1191,Unknown Artist,Portrait of Nobleman,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1192,Unknown Artist,A Visitor Kneeling in front of a Seated Ruler,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1193,Unknown Artist,A Shaivite Yogi Plucks a Veena,1801,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1194,Unknown Artist,Portrait of a Minister,1750,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1195,Unknown Artist,Equestrian Portrait,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1196,Unknown Artist,Portrait of Maharajah Sidh Sen of Mandi,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,7.0,4.0,,,,"Drawing, Collage or other Work on Paper"
KG-1197,Unknown Artist,Prince Thata Singh in a Hunting Procession,1701,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1198,Unknown Artist,Dev Singh of Mandi,1785,,Gouache heightend with gold on paper,Gouache heightend with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1199,Unknown Artist,Sidh Sen,,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1200,Unknown Artist,Raja Shamsher Sen,,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1201,Unknown Artist,Shri Mian Bhairva,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1203,Unknown Artist,Portrait of Mian Avalia,1740,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1204,Unknown Artist,Portrait of Tholu Sanyal,1740,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1205,Unknown Artist,Portrait of a Prince Smoking Hookah,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1206,Unknown Artist,Sikh School,1850,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,13.0,9.0,,,,"Drawing, Collage or other Work on Paper"
KG-1207,Unknown Artist,Maharaja Kailash Pal of Nurpur,1740,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,8.0,5.0,,,,"Drawing, Collage or other Work on Paper"
KG-1208,Unknown Artist,"Portrait of an Indian Saint (Jagata, father of Mian Fattu)",1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1209,Unknown Artist,Nobleman smoking hookah,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1210,Unknown Artist,Shah Jahan at a Jharokha Window,1701,50000.0,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1211,Unknown Artist,Sayyid Hasan Ali Receives a Minister,1820,15000.0,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1212,Unknown Artist,Nobleman smoking hookah,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,7.0,5.0,,,,"Drawing, Collage or other Work on Paper"
KG-1213,Unknown Artist,Mughal Portrait,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1214,Unknown Artist,A Mendicant and his Wife,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1215,Unknown Artist,Vishnu devotee,1820,,Gouache on paper,Gouache on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1216,Unknown Artist,Costume Drawings: Four,1801,,Tempera on prepared paper,Tempera on prepared paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1217,Unknown Artist,A large and incomplete painting of a Durbar,1801,,Opaque watercolor on paper,Opaque watercolor on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1218,Unknown Artist,Illustration of a Bladesmith,1801,38000.0,Opaque watercolor on paper,Opaque watercolor on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1219,Unknown Artist,A group of eight paintings of castes and people of India,1801,,Mica,Mica,,,,,,Painting
KG-1221,Unknown Artist,Woman Praying,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1222,Unknown Artist,Company Portrait of a Princess,1801,,Gouache on paper,Gouache on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1225,Unknown Artist,Portrait of an elephant,1701,15000.0,Pigments and gold on paper,Pigments and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1226,Unknown Artist,Tethered Elephant,1701,,Gouache on paper,Gouache on paper,5.0,8.0,,,,"Drawing, Collage or other Work on Paper"
KG-1227,Unknown Artist,Two Paintings Depicting Elephants with their Mahouts,1730,,Gouache on paper,Gouache on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1228,Unknown Artist,Portrait of an Elephant,1801,,Ink and gouache,Ink and gouache,,,,,,"Drawing, Collage or other Work on Paper"
KG-1229,Unknown Artist,Maharaja Prithi Singh of Ratanpur in Procession,1790,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1230,Unknown Artist,Maharaja Prithi Singh,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,9.0,7.0,,,,"Drawing, Collage or other Work on Paper"
KG-1231,Unknown Artist,Maharaja Prithi Singh of Orcha seated with children,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,9.0,7.0,,,,"Drawing, Collage or other Work on Paper"
KG-1232,Unknown Artist,Man pinching cherry,,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1233,Unknown Artist,Untitled,,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1234,Unknown Artist,Portrait of Bhup Singh,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1235,Unknown Artist,A Maharaja Admiring a Jewel,1801,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1236,Unknown Artist,Nobleman on Horse,1901,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1237,Unknown Artist,Portrait of a Nobleman in Yellow Garb,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1238,Unknown Artist,Twins,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1239,Unknown Artist,A Photograph of a Young Girl,1900,,Photographic print tip mounted on a buff page,Photographic print tip mounted on a buff page,,,,,,Photograph
KG-1243,Unknown Artist,Raja Smoking Hookah,,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1244,Unknown Artist,Mirza Shah Rukh holding a Hunting Falcon,1601,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1245,Unknown Artist,Nawab Jiwan Khan Holding a Falcon,1701,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1246,Unknown Artist,Jahangir,1764,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1247,Unknown Artist,Shah Jahan,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1248,Unknown Artist,"A Princely Figure holding a Falcon, Seated by a Balcony Window",1701,,"gouache and gold paper, laid down on an album page with gilt-decorated borders, verso a study of a spray of flowers","gouache and gold paper, laid down on an album page with gilt-decorated borders, verso a study of a spray of flowers",,,,,,"Drawing, Collage or other Work on Paper"
KG-1249,Unknown Artist,A man seated on a terrace smoking a hookah,1701,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1250,Unknown Artist,Khalifah Sayyid Ahmad Lies Dead,1831,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1251,Unknown Artist,Portrait of a Nobleman,1701,,Ink on paper,Ink on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1252,Unknown Artist,A Prince Consulting with a Dervish,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1253,Unknown Artist,Fakir Conversing with a Bird,1601,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1254,Unknown Artist,Portrait with Putti,,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1255,Unknown Artist,Muslim Darvesh (Mystic) Praying on a Terrace,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1256,Unknown Artist,A Distinguished Mughal Nobleman,1775,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1257,Unknown Artist,A Mughal Nobleman,1775,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1258,Unknown Artist,A Mughal Nobleman,1601,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,6.0,3.0,,,,"Drawing, Collage or other Work on Paper"
KG-1259,Unknown Artist,Horse and gazelles,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,13.1,9.25,,,,"Drawing, Collage or other Work on Paper"
KG-1260,Unknown Artist,Portrait of a Nobleman / Blossom and Sword,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1264,Unknown Artist,A Seated Ruler in Court,1501,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1265,Unknown Artist,Portrait of a Couple,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
