Inventory ID (OPTIONAL),Artist Name ,Title ,Year ,Price ,Medium ,Materials ,Height ,Width ,Depth,Certificate of Authenticity ,Signature ,Classification 
KG-1295,Unknown Artist,Tomb of Akbar the Great,1800,10000.0,Opaque watercolor on paper,Opaque watercolor on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1296,Unknown Artist,Two architectural drawings of the tombs of Shah Jahan and Mumtaz Mahal,1801,25000.0,Opaque watercolor on paper,Opaque watercolor on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1297,Unknown Artist,Three architectural drawings,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1298,Unknown Artist,Todi Ragini,1701,22000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1299,Unknown Artist,Todi Ragini,1701,4000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1300,Unknown Artist,Gujari Ragini,1701,4000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1301,Unknown Artist,Angels bring food to Ibrahim Adham at dawn,1750,48000.0,"Opaque watercolor heightened with gold on paper  
Calligraphy panel on verso","Opaque watercolor heightened with gold on paper  
Calligraphy panel on verso",,,,,,"Drawing, Collage or other Work on Paper"
KG-1302,Unknown Artist,Angels dance and fly,1800,18000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1303,Unknown Artist,Vishnu and Lakshmi astride Garuda,1701,18000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1304,Unknown Artist,Lakshmi-Narayana Enthroned,1845,50000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,8.0,8.0,,,,"Drawing, Collage or other Work on Paper"
KG-1305,Unknown Artist,Vishnu reclining on Shesha,1801,18000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1306,Unknown Artist,Ruler and consort seated in a composite palanquin,1801,28000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1307,Unknown Artist,A nayika preparing to meet her beloved,1801,30000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1308,Unknown Artist,A princess enjoying paan on a terrace,1790,25000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1309,Unknown Artist,Tilangi Ragini,1800,28000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1310,Unknown Artist,Srihathi Ragini,1800,28000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1311,Unknown Artist,The Month of Pausha,1810,35000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1312,Unknown Artist,Vasishtha Teaches Rama and Lakshmana,1700,26000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,9.0,14.0,,,,"Drawing, Collage or other Work on Paper"
KG-1314,Unknown Artist,Rishi Vishvamitra visits King Dasharatha,1701,26000.0,Oapque watercolor on paper,Oapque watercolor on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1315,Unknown Artist,Inebriated Ascetics,1750,18000.0,Opaque watercolor on paper,Opaque watercolor on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1316,Unknown Artist,"India, Kanchenjunga Near Darjeeling",1958,,Linen backed poster,Linen backed poster,,,,,,Poster
KG-1317,Unknown Artist,"India, Kanchenjunga Near Darjeeling",1958,,Linen backed poster,Linen backed poster,,,,,,Poster
KG-1318,Unknown Artist,"India, Kanchenjunga Near Darjeeling",1958,,Linen backed poster,Linen backed poster,,,,,,Poster
KG-1319,Unknown Artist,"Taj Mahal, Visit India",1950,,Linen backed poster,Linen backed poster,,,,,,Poster
KG-1320,Unknown Artist,Visit Kashmir,1949,,Linen backed poster,Linen backed poster,,,,,,Poster
KG-1321,Unknown Artist,Winter in India,1950,,Linen backed poster,Linen backed poster,,,,,,Poster
KG-1327,Unknown Artist,"See India, Mysore",1954,,Linen backed poster,Linen backed poster,,,,,,Poster
KG-1329,Unknown Artist,"Visit India, Jaipur",1930,,Linen backed poster,Linen backed poster,,,,,,Poster
KG-1334,Unknown Artist,Visit Kashmir: Amenities for Tourists Now Available,1949,,Linen backed poster,Linen backed poster,,,,,,Poster
KG-1335,Unknown Artist,Car Festival at Puri,1957,,Linen backed poster,Linen backed poster,,,,,,Poster
KG-1341,Unknown Artist,SwissAir to India,1958,,Linen backed poster,Linen backed poster,,,,,,Poster
KG-1342,Unknown Artist,"Sabena, India, Belgian World Airlines",1970,,Linen backed offset color lithograph,Linen backed offset color lithograph,,,,,,poster
KG-1344,Unknown Artist,India via Bank of America,1950,,Linen backed poster,Linen backed poster,,,,,,poster
KG-1347,Unknown Artist,"Kashmir, India",,,"Offset a Litho Works, Bombay 27.","Offset a Litho Works, Bombay 27.",,,,,,poster
KG-1382,Unknown Artist,Simla,1930,,Color lithograph,Color lithograph,,,,,,poster
KG-1387,Unknown Artist,Fly Jet to India / Pan American World Airways,1950,,Linen backed color stone lithograph,Linen backed color stone lithograph,,,,,,Poster
KG-1388,Unknown Artist,"Visit India, Hindu Temple",1953,,Poster,Poster,,,,,,poster
KG-1389,Unknown Artist,"Air India, there is an air about India",1968,,Poster,Poster,,,,,,poster
KG-1390,Unknown Artist,"Air India, India",1964,,Poster,Poster,,,,,,Poster
