kg_id,match_score,external_title,decision
KG-1065,100,Illustration to a Rasikapriya series: Krishna seated with Radha,"merged: provenance,physical_location,acquired_from,image.alternates"
KG-1634,100,Illustration to a Rasikapriya series: Krishna conversing with a Sakhi,"merged: provenance,physical_location,acquired_from,image.alternates"
KG-1635,100,A Nayika Writing a Note,"merged: physical_location,image.alternates"
KG-1636,100,Maiden with Mirror,"merged: provenance,physical_location,acquired_from,image.alternates"
KG-1100,100,Rama,skipped: KG-# already enriched from earlier source
KG-1644,100,Lord Kubera,"merged: provenance,physical_location,acquired_from,image.alternates"
KG-1646,100,"Leaf from a Panch Kalyanaka of 
Rishabhanatha series:
 Prince Shreyans Achieves ","merged: physical_location,image.alternates"
KG-1648,100,Illustration to the Ashta Nayika: Abhisandhita Nayika,"merged: provenance,physical_location,image.alternates"
KG-1003,100,Ganesha Enthroned,skipped: KG-# already enriched from earlier source
KG-1002,100,Folio from an Usha-Aniruddha romance series: Chitralekha visits Aniruddha in Dwa,skipped: KG-# already enriched from earlier source
KG-1187,100,Seated Nobleman on a Terrace,"merged: provenance,physical_location,acquired_from,image.alternates"
KG-1276,100,Women in the Zenana,"merged: provenance,physical_location,image.alternates"
KG-1067,100,Aurangzeb in Court,"merged: physical_location,image.alternates"
KG-1068,100,Baz Bahadur and Rupmati Riding at Night,"merged: provenance,physical_location,publications_and_exhibitions,image.alternates"
KG-1164,100,Maharaja Abhai Singh Receiving Thakur Bhandari Girdhar Das,"merged: provenance,physical_location,acquired_from,publications_and_exhibitions,image.alternates"
KG-1119,100,Rao Bishan Singh Watching an Elephant Fight,"merged: provenance,physical_location,image.alternates"
KG-1070,100,A Maiden Approaches a Nobleman,"merged: provenance,physical_location,acquired_from,image.alternates"
KG-1247,100,Shah Jahan at a Jarokha Window,skipped: KG-# already enriched from earlier source
KG-1373,100,Print from the India and Southeast Asia series: “Taj Mahal No. 1”,"merged: physical_location,acquired_from,image.alternates"
KG-1072,100,Pietra-Dura inlaid marble games table,"merged: provenance,physical_location,image.alternates"
KG-1075,100,Five-pointed spear,"merged: provenance,physical_location,acquired_from,image.alternates"
KG-1663,100,Konchog Bang,"merged: provenance,physical_location,acquired_from,publications_and_exhibitions,image.alternates"
KG-1671,100,Brahma with Devotees,"merged: provenance,physical_location,acquired_from,image.alternates"
KG-1673,100,A Maharishi on a Terrace,"merged: provenance,physical_location,acquired_from,publications_and_exhibitions,image.alternates"
KG-1675,100,Narasimha Disemboweling Hiranyakashipu,"merged: provenance,physical_location,acquired_from,image.alternates"
KG-1076,100,Illustration to a Rasikapriya series: Beauty of Radha,"merged: provenance,physical_location,acquired_from,image.alternates"
KG-1676,100,A leaf from a Panchatantra Series (or ‘Panchakhyana’ Series),"merged: provenance,physical_location,image.alternates"
KG-1423,100,An illustration to a Ragamala Series: Nat Ragini,"merged: provenance,physical_location,image.alternates"
KG-1679,100,An illustration to the Ramayana: Rama and Lakshmana,skipped: KG-# already enriched from earlier source
KG-1078,100,A Raja and His Courtiers Playing Chaupar,"merged: provenance,physical_location,acquired_from,image.alternates"
KG-1683,100,A portrait of a woman with a cat,"merged: provenance,physical_location,acquired_from,image.alternates"
KG-1116,100,Maharaja Vijay Singh of Marwar,"merged: provenance,physical_location,acquired_from,image.alternates"
KG-1174,100,A commemorative portrait of Maharaja Rai Singh,"merged: provenance,physical_location,acquired_from,image.alternates"
KG-1687,100,An illustration to the Devi Mahatmya: The Demon Army,"merged: provenance,physical_location,acquired_from,publications_and_exhibitions,image.alternates"
KG-1614,100,A leaf from the Devi Mahatmya: Homage of the Gods,"merged: provenance,physical_location,image.alternates"
KG-1127,100,An equestrian portrait of Maharana Bhim Singh of Mewar,"merged: provenance,physical_location,publications_and_exhibitions,image.alternates"
