work_id,missing_core,missing_artsy_required,core_completeness_pct,missing_fields
KG-1870,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1871,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1873,8,3,11.1,"artist,year,classification,medium,height_in,width_in,primary_image_url,price_usd"
KG-1874,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1876,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1877,6,2,33.3,"artist,classification,height_in,width_in,primary_image_url,price_usd"
KG-1878,7,2,22.2,"artist,year,classification,height_in,width_in,primary_image_url,price_usd"
KG-1879,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1880,6,2,33.3,"artist,classification,height_in,width_in,primary_image_url,price_usd"
KG-1881,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1882,4,1,55.6,"height_in,width_in,primary_image_url,price_usd"
KG-1883,5,2,44.4,"artist,classification,height_in,width_in,primary_image_url"
KG-1884,7,3,22.2,"artist,classification,medium,height_in,width_in,primary_image_url,price_usd"
KG-1885,4,1,55.6,"height_in,width_in,primary_image_url,price_usd"
KG-1886,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-1887,7,2,22.2,"artist,year,classification,height_in,width_in,primary_image_url,price_usd"
KG-1888,6,2,33.3,"artist,classification,height_in,width_in,primary_image_url,price_usd"
KG-1889,7,3,22.2,"artist,classification,medium,height_in,width_in,primary_image_url,price_usd"
KG-1890,6,2,33.3,"artist,classification,height_in,width_in,primary_image_url,price_usd"
KG-1891,4,1,55.6,"height_in,width_in,primary_image_url,price_usd"
KG-1892,8,3,11.1,"artist,year,classification,medium,height_in,width_in,primary_image_url,price_usd"
KG-1893,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-1894,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1896,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1908,6,2,33.3,"year,classification,height_in,width_in,primary_image_url,price_usd"
KG-1910,8,3,11.1,"artist,year,classification,medium,height_in,width_in,primary_image_url,price_usd"
KG-1912,6,2,33.3,"year,classification,height_in,width_in,primary_image_url,price_usd"
KG-1913,6,2,33.3,"year,classification,height_in,width_in,primary_image_url,price_usd"
KG-1916,6,2,33.3,"year,classification,height_in,width_in,primary_image_url,price_usd"
KG-1917,6,2,33.3,"year,classification,height_in,width_in,primary_image_url,price_usd"
KG-1918,5,1,44.4,"artist,year,height_in,width_in,primary_image_url"
KG-1919,7,2,22.2,"title,artist,year,height_in,width_in,primary_image_url,price_usd"
KG-1920,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-1922,6,2,33.3,"artist,classification,height_in,width_in,primary_image_url,price_usd"
KG-1923,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1924,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1925,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1926,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1927,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1928,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1929,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1930,3,1,66.7,"artist,primary_image_url,price_usd"
KG-1931,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1932,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1933,2,1,77.8,"artist,primary_image_url"
KG-1934,2,1,77.8,"artist,primary_image_url"
KG-1935,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1936,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1937,4,1,55.6,"artist,width_in,primary_image_url,price_usd"
KG-1938,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1939,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1940,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1941,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1942,5,2,44.4,"artist,classification,height_in,width_in,primary_image_url"
KG-1944,8,3,11.1,"artist,year,classification,medium,height_in,width_in,primary_image_url,price_usd"
KG-1945,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1946,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1947,7,3,22.2,"artist,classification,medium,height_in,width_in,primary_image_url,price_usd"
KG-1948,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1949,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1950,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1951,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1952,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1953,6,2,33.3,"artist,classification,height_in,width_in,primary_image_url,price_usd"
KG-1954,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-1955,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1956,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
