work_id,title,classification,medium,year,price_usd,ready_when_photographed
KG-1968,A bronze figure of Vishnu,Sculpture,Bronze,801,,yes
KG-1969,A gilt silver chowrie handle,Sculpture,Gilt Silver,1801,6000.0,yes
KG-1970,A Rosewater Dropper,Sculpture,Brass,1701,,yes
KG-1972,A Corpulent Figure of a Seated Ganesha,Sculpture,Bronze,1301,,yes
KG-1973,"Figure of Bhu-Devi, consort of Vishnu",Sculpture,Bronze,1701,18000.0,yes
KG-1974,Maitreya,Sculpture,grey schist,101,,yes
KG-1975,Parnashavari,Sculpture,phyllite stone stele,901,,yes
KG-1976,Ganesha,Sculpture,copper alloy,1201,,yes
KG-1977,A stone stele of Vishnu,Sculpture,stone,,,yes
KG-1978,Lady with Child,Sculpture,Stone,1101,,yes
KG-1979,Dancing Shiva,Sculpture,,1101,,no
KG-1980,Elephant fights Tiger,Sculpture,,1101,,no
KG-1981,Surya,Sculpture,Stone,1101,48000.0,yes
KG-1982,Buddhist Frieze,Sculpture,Stone,201,,yes
KG-1983,A red sandstone head of a bodhisattva,Sculpture,mottled red sandstone,101,,yes
KG-1984,An Indian Brass Jain Shrine Tirthankara Anantanatha,Sculpture,Brass,1301,2000.0,yes
KG-1985,Need title,Sculpture,,,,no
KG-1986,Need title,Sculpture,,,,no
KG-1987,Need title,Sculpture,,,,no
KG-1988,Shrine,Sculpture,,,,no
KG-1990,Shrine,Sculpture,,,,no
KG-1991,Need title,Sculpture,,,,no
KG-1992,Need title,Sculpture,,,,no
KG-1993,Mohra,Sculpture,Brass,,,yes
KG-1994,Need title,Sculpture,,,,no
KG-1995,Need title,Sculpture,,,,no
KG-1996,Durga Mahishasudamardini,Sculpture,,,,no
KG-1997,"A bronze group of Brahma, Vishnu, Shiva, and Parvati",Sculpture,Bronze,,,yes
KG-1998,A bronze figure of Prajnaparamita,Sculpture,bronze,1001,,yes
KG-1999,Ganesha,Sculpture,bronze,901,,yes
KG-2000,A bronze lotus base,Sculpture,Bronze,,,yes
KG-2001,A bronze figure of Surya,Sculpture,Bronze,,,yes
KG-2002,Figure of Durga,Sculpture,Bronze,,,yes
KG-2005,Need title,Sculpture,,,,no
KG-2006,A gray schist stupa,Sculpture,gray schist,101,,yes
KG-2007,Stupa (with relics inside),Sculpture,gray schist,101,,yes
KG-2008,Erotic Ivory,Sculpture,Ivory,,,yes
KG-2009,A small stone stele of Padmapani,Sculpture,Stone,,,yes
KG-2010,A silver- and copper-inlaid figure of Manjsuhri,Sculpture,Silver- and copper-inlaid bronze,,,yes
KG-2011,Hariti,Sculpture,Gray Schist,,,yes
KG-2012,Need title,Sculpture,,,,no
KG-2013,Need title,Sculpture,,,,no
KG-2014,Need title,Sculpture,,,,no
KG-2015,Need title,Sculpture,,,,no
KG-2016,Need title,Sculpture,,,,no
KG-2017,Need title,Sculpture,,,,no
KG-2018,Need title,Sculpture,,,,no
KG-2020,Need title,Sculpture,,,,no
KG-2021,Need title,Sculpture,,,,no
KG-2022,Betel Scissors,Sculpture,,,,no
KG-2024,Head,Sculpture,,,,no
KG-2025,Jingle bells,Sculpture,,,,no
KG-2026,Need title,Sculpture,,,,no
KG-2027,Need title,Sculpture,,,,no
KG-2028,Astrological Diagrams,Sculpture,,,,no
KG-2029,Surya,Sculpture,Basalt,901,,yes
KG-2030,The child Jesus as ‘Savior of the World’,Sculpture,ivory,1701,,yes
KG-2031,Gold base with heart shape,Sculpture,Gold,,,yes
KG-2032,Bronze lady statue,Sculpture,Bronze,,,yes
KG-2035,Vishnu and Garuda,Sculpture,Bronze,1201,,yes
KG-2036,A Singhalese Silver Kastane Hilt,Sculpture,Silver,1701,3500.0,yes
KG-2037,Saber hilt,Sculpture,Engraved silver with red stone and gold application,1800,,yes
KG-2038,Dancing Bhairava,Sculpture,Sandstone,901,,yes
KG-2046,Kris,Sculpture,,,12000.0,no
KG-2047,A Nepalese Parcel Gilt Bronze Figure of Kali,Sculpture,Gilt-bronze,,4000.0,yes
KG-2048,An Indonesian Bronze Figure of a Female Retinue,Sculpture,Bronze,,4000.0,yes
KG-2049,Bronze Stupa,Sculpture,Bronze,,6048.0,yes
KG-2050,Bronze Phurba,Sculpture,Bronze,,,yes
KG-2052,A Sino-Tibetan Gilt-bronze Figure of Green Tara,Sculpture,Gilt bronze,,12000.0,yes
KG-2053,A Tibetan Parcel-gilt Bronze Figure of Avalokiteshvara,Sculpture,Bronze,,1000.0,yes
KG-2054,A Nepalese Parcel-Gilt Bronze Figure of Standing Avalokiteshvara,Sculpture,Bronze,,2000.0,yes
KG-2056,A Nepalese Parcel-gilt Bronze Figure of Vajrasattva,Sculpture,Bronze,,2000.0,yes
KG-2057,A Tibetan Gilt-bronze Figure of Yama Dharmaraja,Sculpture,Bronze,,3000.0,yes
KG-2058,A Tibetan Gilt Copper Alloy Figure of Avalokiteshvara,Sculpture,Copper,,2000.0,yes
KG-2060,"A Tibetan Semi-precious Stone Inlaid Gilt Bronze and Silver Skull Cup, Kapala",Sculpture,"Gilt bronze and silver, stone-inlaid",,2000.0,yes
KG-2061,An Indian Bronze Figure of a Seated Deity,Sculpture,Bronze,,2000.0,yes
KG-2062,An Indian Bronze Figure of a Standing Female Attendant,Sculpture,Bronze,,2000.0,yes
KG-2063,A Small Nepalese Bronze Figure of Yamantaka,Sculpture,Bronze,,1500.0,yes
KG-2064,A Tibetan Bronze Figure of Hayagriva OR Red Jambhala,Sculpture,Bronze,,2500.0,yes
KG-2065,A Small Tibetan Pola Bronze Stupa,Sculpture,Bronze,,4000.0,yes
KG-2099,Figure of Jambhala,Sculpture,Bronze,,,yes
KG-2101,"A pair of carved, silvered and painted wood figures of Rampant Horses",Sculpture,"Wood, silver, paint",,35000.0,yes
KG-2112,Tibetan Ewer,Sculpture,Silver-gilt and mixed metal,,,yes
KG-2113,Figure of Amoghapasha,Sculpture,Gilt-copper,,4480.0,yes
KG-2130,Vajradaka,Sculpture,Bronze,,8000.0,yes
KG-2131,Maitreya - Bodhisattva,Sculpture,bronze,,60000.0,yes
KG-2132,Krishna with butter ball,Sculpture,Bronze,,6000.0,yes
KG-2133,Surya (Sun God),Sculpture,Stone,,50000.0,yes
KG-2134,Walzer Ganesha,Sculpture,Bronze,,,yes
KG-2135,Ganesh,Sculpture,,,35000.0,no
KG-2160,"Set of Sancai-glazed pottery figures of the Eight Immortels, Qing Dynasty",Sculpture,Sancai glazed pottery,,2715.0,yes
KG-2161,A Rock Crystal Sphere on a Silver Dragon,Sculpture,Rock Crystal and Silver,,80000.0,yes
KG-2162,Shrine: a rare bronze group of Vishnu and Lakshmi with various avatars and attendants,Sculpture,Bronze,,7560.0,yes
KG-2164,Ganesh,Sculpture,,,1000.0,no
KG-2167,Vajrasattva,Sculpture,Gilt-bronze,,615000.0,yes
KG-2168,Maitreya,Sculpture,gilt-copper alloy,,300000.0,yes
KG-2173,Maha Akshobhya,Sculpture,Gilt copper alloy,,60000.0,yes
KG-2174,Buddha Shakyamuni,Sculpture,Gilt copper alloy,,90000.0,yes
KG-2191,A Gilt-Bronze Stupa,Sculpture,gilt-bronze,1800,,yes
KG-2193,A Painted Wood Figure of a Lady,Sculpture,wood,1850,,yes
KG-2198,Black Madonna,Sculpture,bronze,1961,,yes
KG-2199,Girl Putting Flower in Hair,Sculpture,bronze,1965,,yes
KG-2210,A BRONZE KADAMPA STUPA,Sculpture,Bronze,,,yes
KG-2227,A Tibetan Ritual Spear Head with Skull,Sculpture,Silver and Bronze,,8000.0,yes
KG-2231,Bodhisattva Avalokiteshvara (Guanyin),Sculpture,Gilt-bronze,1800,,yes
KG-2233,"Kalpavriksha, the Wish-Fulfilling Tree",Sculpture,brass,1600,,yes
KG-2253,"The Hindu Gods Vishnu, Shiva, and Brahma",Sculpture,Black schist,,,yes
KG-2254,"Kumara, The Divine General",Sculpture,Gray schist,,,yes
KG-2257,Bodhisattva Avalokiteshvara (Guanyin),Sculpture,Gilt bronze,,,yes
KG-2277,Akshobhya Buddha - (Peaceful Appearance),Sculpture,"Metal, Mercuric Gild, Precious Stone, Stone Inset: Coral, Turquoise",,,yes
KG-2292,Deogarh Vessel,Sculpture,Terracotta,,,yes
KG-2298,Red Sandstone Vishnu,Sculpture,Red Sandstone,,25000.0,yes
KG-2301,Figure of Duck,Sculpture,cast bronze,,,yes
KG-2302,Provincial Animals,Sculpture,cast bronze,,,yes
KG-2308,An Ancient Indo-Gangetic Anthropomorphic Figure,Sculpture,Copper,,60000.0,yes
KG-2324,Gemstone: Star Spinel - 3.41 Cts,Sculpture,Gemstone,,,yes
KG-2335,Vishnu Schist,Sculpture,Green Schist,,,yes
KG-2337,Figure of Shakyamuni Buddha,Sculpture,copper alloy,1500,,yes
KG-2338,Figure of Shakyamuni Buddha,Sculpture,copper alloy,1400,,yes
KG-2339,Figure of Buddha,Sculpture,copper alloy,1300,,yes
KG-2340,Figure of Chakrasamvara,Sculpture,gilt-copper alloy,1800,,yes
KG-2341,Figure of Yamantaka,Sculpture,gilt-copper alloy,1700,,yes
KG-2342,A Standing Figure of Buddha,Sculpture,Copper alloy,,,yes
KG-2343,Figure of Vajrapani,Sculpture,copper alloy,1700,,yes
KG-2344,Figure of Shakyamuni Buddha,Sculpture,Blue Grey Schist,,,yes
KG-2345,Chola Ganesha,Sculpture,Bronze,1200,200000.0,yes
KG-2360,Ekmukhalingam,Sculpture,green stone,700,,yes
KG-2362,Little Spanish Mother,Sculpture,Cast bronze sculpture on a black marble base,,,yes
KG-2363,Paul Robeson as Othello,Sculpture,Bronze on a marble base,,,yes
KG-2366,Monumental seated Buddha Sakyamuni,Sculpture,Parcel gilt-copper repoussé with pigments,,,yes
KG-2367,A Celestial Apsara Beneath a Canopy of Flowers,Sculpture,,,10000.0,no
KG-2368,A Tibetan Gilt Bronze Figure of a Lama,Sculpture,Gilt-bronze,,,yes
KG-2369,Japanese Wood-Carved Figure of Luohan,Sculpture,Wood,,,yes
KG-2370,Varaha,Sculpture,Yellow Sandstone,,,yes
KG-2377,2 Tibetan 100 Srang,Sculpture,,,,no
KG-2378,India Postage Stamps,Sculpture,,,,no
KG-2382,A Wood Mandala Table,Sculpture,Wood,,,yes
KG-2450,Palden Lhamo (Shri Devi),Sculpture,Polychrome on bronze,,,yes
KG-2452,Vaishravana Riding a Lion,Sculpture,Polychrome on stone,,,yes
KG-2458,Téo Mask,Sculpture,,,,no
KG-2459,Gilt-Bronze Figure,Sculpture,Gilt-bronze,,,yes
KG-2460,Olmec Jaguar Man,Sculpture,"Magmatic stone, olivine basalt",,,yes
KG-2461,Aztec Goddess Chalchiuhtlicue,Sculpture,Stone,,,yes
KG-2034,Pashmina shawl,Textile Arts,Pashmina wool,,,yes
