work_id,title,artist,year,period_school_region,classification,medium,materials,height_in,width_in,depth_in,price_usd,status,provenance_text,exhibitions,publications,signature,coa_status,primary_image_url,primer_uuid,location,external_id,external_id_system,artsy_eligibility,has_conflict,conflict_fields,canonical_updated_at,title_conflict,artist_conflict,year_conflict,period_school_region_conflict,classification_conflict,medium_conflict,materials_conflict,height_in_conflict,width_in_conflict,depth_in_conflict,price_usd_conflict,status_conflict,provenance_text_conflict,exhibitions_conflict,publications_conflict,signature_conflict,coa_status_conflict,primary_image_url_conflict,primer_uuid_conflict,location_conflict,external_id_conflict,external_id_system_conflict,artsy_eligibility_conflict
KG-1169,Portrait of Faruq Shah,,1801,,"Drawing, Collage or other Work on Paper",Opaque watercolor heightened with gold on paper,,,,,,active,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/8a628404-306f-498c-b104-80e3214de005/Screenshot%202023-07-03%20at%203.47.41%20PM.jpg?Expires=1802811871&Signature=N7oZb3Hy-KB3CPAFuWICz9q4nAE3Yd5zTQgw13tf3VY4uONdCGlWrAyrFdegbxPVrVmvkRBM4eNupGNq5yx7vDPw0Tkad1ykYfzki3~yvwmftN4aWWgxC5YxA9l6YjvkL55uZz6aIWfkajuvpOJei1wqJi9VSUTU2VAd8mUsRi-SMkabonT0bIrKGvObtbltZMPoZfv4M4xqdIgfbcCltlq3eqKGgm9ligmaQnT6R1yVbUK7SO3iu7tNXEilvSs6F9fSdHElh9f5abTN2FsOCyd5193k2OQhRqBWNrsR0PfZ14iZVvo-8jXRXP4Igdj39ZWr6hpvMPDUMsv7x2n~Tw__&Key-Pair-Id=K2SVGVHI7PEVAH,8a628404-306f-498c-b104-80e3214de005,,,,,0,,2026-05-06T06:08:32.942502+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG-1170,Raja Fateh Singh Riding to Battle,,1801,,"Drawing, Collage or other Work on Paper",Opaque watercolor heightened with gold on paper,,,,,,active,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/a7214d3f-72ae-4206-b64b-50483725cca6/201013_KapoorGalleries_FLATS_0024.jpg?Expires=1802811872&Signature=X7Dg~hXip2S4BpFKX-VSEQVMS7NSDEFB8twZNXa5nFKOFqv7mzo-ArKu-p7gf4-UaO~VwSVDIkTAOZwXdqlcJGbYNsWNgwCuAdltAC8bXzw6cbRFPjm4AjplFV4mI0V7Ihqe0dw7CLo85Yonat8YkKAUkgVsD6tDFTNHfqzHKeVXj7r0sQX8LZlBO1xA15actG0RKwCbj4Yty6CVzIZWZHxwelKHRuutd7eBDSS6x6Tk6Go4Ozy5g9bbendR26O2ef3I0rJ1pSS2XQ4kJC5QT1cXw8zQqP3AAp5U15c0OfHh9xnRLpABBTq1uqEkLOo4PJyO~MXU4mN4lRo8DIwDXQ__&Key-Pair-Id=K2SVGVHI7PEVAH,a7214d3f-72ae-4206-b64b-50483725cca6,,,,,0,,2026-05-06T06:08:32.942502+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG-1171,Raja on horseback,,1701,,"Drawing, Collage or other Work on Paper",Opaque watercolor heightened with gold on paper,,,,,,active,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/9a88305c-0657-4d2f-963b-ef024a8cca33/201013_KapoorGalleries_FLATS_0063.jpg?Expires=1802811872&Signature=uq5DI5QjnDpH9GoDmoJOrnDWkEcTiCoR5nxDG1nhBChI8t3HZjdCbxp99hheQropBus-YTsiBX~mmzLd1XLHEV0YQ~RCcuU9O8uaqDdG0pUf~EFlks62SR5lc9ItShwuAZ-~iVtS2H4DdkrVpLZpfrhccv794CzHSg6UHS9CpH8w-6pczQEhEd6IqI3UX58jLqhziYEp~QRUekBjYtUbH7BIUIPxC3la3npAE88cxuyFNUL1LqGBiEy0e7RYyUFYZovynSc8Bk8FEr0O-mmWslo7PcLD5Mwa8DjCEOEufru0NBH5q75ZjWb9wu67W2bgqdqiLDEmWnTo8xlRdu2XQA__&Key-Pair-Id=K2SVGVHI7PEVAH,9a88305c-0657-4d2f-963b-ef024a8cca33,,,,,0,,2026-05-06T06:08:32.942502+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG-1172,Equestrian Portrait,,1701,,Painting,Opaque watercolor on paper,,,,,,active,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/d213b405-44a4-43ba-9a80-9a6d8b4804e9/DSC_4222.jpg?Expires=1802811872&Signature=V6rebIzUzzscHlI8bBEVE5dmBJ0MAs7WbXm40fV4oxa3FbZiftJywBFPWCpzp~c1GA4HtcOy4zjcms88hI5ci7-A7rqG5T1ZpcRZvzoFwYr3y35-z~W2kg1aYqSsJPBfkiohBjnikUk~sH1CRjeaqxQXQProceYedkRRh~aSM4yjimxJYb8ExBVFbO~s2xFL~VZgh-yRkdr2gmnfnsNfFRBe3s7~-wztsRFuDWL5BqZ6m0AXYW0jRttZkF9I-9UzQrm5wl7~1VeEwrVtFsq64-GdPvJ9~6AbJM5SyHLMon5DiLQpeimn6skV9~14FLTuBmtrsm-Cx9-xapMRm7a~9w__&Key-Pair-Id=K2SVGVHI7PEVAH,d213b405-44a4-43ba-9a80-9a6d8b4804e9,,,,,0,,2026-05-06T06:08:32.942502+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG-1173,Equestrian Portrait,,1800,,"Drawing, Collage or other Work on Paper",Tempera on paper,,,,,,active,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/3ccdd58a-a1fc-4b7f-beb9-bf1d4d24938e/DSC_4373.jpg?Expires=1802811871&Signature=uQtRrjnOG5ea-hOwd6j02qpoQFQEmUawtqR6lcHDmP4dlHob2LL2B2q~3zGQ2VkHMtAo6maUp5p6oYd3q7~uHuCDm2DxGqHxRDnt9vkSOY1jDpq7fWtvArW5YN1xApADvjOjFGG95rM8dY9j7jWbDsu9zDwOwzGsoMPqQQdHB9waCIRV3ONJc45zYfAJn3Twkf9rP6Ysj5g0OSMClhcHRbrjaHM0ZueO4fw01gxT~BHTOl43jgVroyNE~4moyguZ293By0OlmNeO8i~Uyx2eXDrLVG9V0b9dljgiL2IYSTk7ly9PUGKYA8sAIefcZR6-zMkKpcJbNhQudlSlBXaWog__&Key-Pair-Id=K2SVGVHI7PEVAH,3ccdd58a-a1fc-4b7f-beb9-bf1d4d24938e,,,,,0,,2026-05-06T06:08:32.942502+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG-1174,A Commemorative Portrait of Maharaja Rai Singh,,1801,,"Drawing, Collage or other Work on Paper",Gouache heightened with gold on paper,,5.0,4.0,,,active,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/b0fb93b6-4487-4f61-9a94-086c9de222df/img258.jpg?Expires=1802811817&Signature=IgYOQiLgN271BUUXILtZJMvi4qncN89eKKbcvXYZaAzXnvzUPTK3Vw4SWYpDlg9kHf5d5Kvnu9qKhHT9tDZPhC~6JxytweXhRw~jGjufWszCWBMXpaK4T6BUEPMcevHlopq2dEQE~hIhs2tupoGUWBwijREd35R1sYkxRm1DfO-TCIrRpEbkPOKHE4sJmrqUhsj2SAq3BX5L5By8lhr3jo-WCTIT39ioub492eN8z9b3QszyZacKWcXOIsmGjj-D6z~srIfCPu2~n8p899LvBcp3auM31qhzF4Q-B~jdyXCNxGcqSfr3babJnRy5JDj9XK6GBBWakX3IfMIqQQG9gQ__&Key-Pair-Id=K2SVGVHI7PEVAH,b0fb93b6-4487-4f61-9a94-086c9de222df,,,,,0,,2026-05-06T06:08:32.942502+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG-1175,A standing prince,,1801,,"Drawing, Collage or other Work on Paper",Gouache heightened with gold on paper,,,,,,active,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/05a45648-88a5-4a0d-a2d1-c313b2fb5afe/Screenshot%202023-07-03%20at%203.57.37%20PM.jpg?Expires=1802811872&Signature=W1Q1EAIsAWt9VQ4QnXDF~yNgNyMAA3stcThUB29nEt7WGqimWaEZ~TE6tvQXrxPK01tKXAJFZ9YXVnBtM0AqJxLB7MdBHGwQq4HGNhia-wM99c1DPcYsKhu3DeK12xFsHZhW1Wm5xx7Zb3S5crGHf2TSiKryOETbb6HBp~cG3cOPc88WTm9ty7klkvo~NPvQCm8i7ki7qxGtS1s2VMwe44flMungVxiKTflvbUv-88VaksRCfFdCGa9-tt1MyYa8JP1ej2j5b-~pU7f1TDDbG7cO1-i~yE2QE2WJG60r4OYBQXIw5M7kwgecmPTZTg9oCtIeAxBKaS7~gss5tbm3~w__&Key-Pair-Id=K2SVGVHI7PEVAH,05a45648-88a5-4a0d-a2d1-c313b2fb5afe,,,,,0,,2026-05-06T06:08:32.942502+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG-1176,Portrait of a Prince,,1801,,"Drawing, Collage or other Work on Paper",Gouache heightened with gold on paper,,,,,,active,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/1437ae09-87e7-4e24-9654-e67c2ad9b02e/img270.jpg?Expires=1802811872&Signature=DKXXe3zo8Lfymx1hjwRehicSWK0jMnTbq-9mRoV4l-kyjO8rlOesoLi5Bvc5u66mgIM3lDV3fLT6SWhlZM2ZqMQow3Xwrx1JHZuzGxWTLs4nEE9tnEJO0M38l8fzRB6v-5dVR0DBmDYubbZ5F1B2UjiV29mn~2cVZlD5F7B7UysQs4LTq9zcpPhwesG5rKv8XSLeds54u2eeqPp9zspQwYpMgFlfC7sXF2XUfiblWhBfStsi~KBYlUXDEtlYgSMKJJWdidGU2iVrbIqj3xQrVO6Rj8c8OkuOw~Ciz6Mp7YLpID0s95Srg2Z-C1RrKJ0vfBcXjgbnrIJcof-Zbkx4vg__&Key-Pair-Id=K2SVGVHI7PEVAH,1437ae09-87e7-4e24-9654-e67c2ad9b02e,,,,,0,,2026-05-06T06:08:32.942502+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG-1177,Dancing Woman,,1801,,"Drawing, Collage or other Work on Paper",Opaque watercolor heightened with gold on paper,,,,,,active,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/a8ecc366-8eeb-4023-9176-f9aa49929265/IMG_4923.jpg?Expires=1802811758&Signature=j-isnSmF2HvQU0JEmyj~fyP6tJdn2CNhVlG1M67fHkNmD-qWjJuehCGIPOyrqRasnxnAxE0NYmojXwOklvrMJKeuioKYm1aXawburA7rzztRMv0Mqh4FydpDT8USyXz1hegIChLjJJVGRWyVMe16hS690oQLO~xUvo22J61gIr-dcsSUx-1Pftgqb8OddO6Ckh6LE6R-CbOLWi37bTyMCG0rGE-oIQIfbrP1T0-Sq0tBRUfMrm-EBqyQqdYiYnHUaqyZNIuVJEE31FGqXQX7i9cR2C5yuXBR~TsTfCriQjnjk1xzGCXOS33BghiZpWkCtwcrO50g7633XElY3dJ0Qg__&Key-Pair-Id=K2SVGVHI7PEVAH,a8ecc366-8eeb-4023-9176-f9aa49929265,,,,,0,,2026-05-06T06:08:32.942502+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG-1178,Sri Nathji,,,,Painting,Opaque watercolor on paper,,,,,,active,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/0c5f0802-49d9-4d78-9da6-ce8aec907112/Nathdwara%202.jpg?Expires=1802811873&Signature=wHO4ue52~ulw6T1PpGBKkoZJj7gc-tjTuRhU8KP~8FiumkHGo3jdmw07T~9vfNe-I09IqQmTHpLvCIEGs2Be1MnNHs~BX1L8IpHuNysKxHzZvl--aI8Fs~0QTFY3Gj9I2gneR7sFLzF-sNoenNeem1jPJAbPaJngv4nTCgjxOP6G6QQQYKY872x-ADQ3dzGdXw9ckOhAXp4t5Pbvfz-I64rSa~y7a3TD-sw0xAcqMV4JbX0tuAfYZq7gbfuNENIoJyvzEqKudG1D7KGfcE2XjNoEuDh402lxPe4jSsXGQrbI-Xg4YYZVGpVKSiZwvma7Jn11~qgKbCRKJ6zGWh0k2g__&Key-Pair-Id=K2SVGVHI7PEVAH,0c5f0802-49d9-4d78-9da6-ce8aec907112,,,,,0,,2026-05-06T06:08:32.942502+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG-1179,A Maiden with an Open Book,,1901,,"Drawing, Collage or other Work on Paper",Gouache heightened with gold on paper,,,,,,active,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/22f82406-3eb0-4c01-b831-c2e0acb0132a/Copy%20of%2061.jpg?Expires=1802811873&Signature=sZaztufQyz83dWzPreHESSSSUb-wCj-HxsUrfbMLJuJrwmllIARviQc-kru1rEP~uGu0U8cOmJ7duUU~qpZ3owoakL~YXG05FujTsCzB3jMzxT-teE~i0cVW2nIYf72D637GGjYov0vX~YLtE5V8PgTV6I8QJyj69R~KwGFWyraGPfRXdVbJbGfjXp94DJw4PaBZitkuc6mO9gslHRFwD8rlLiNCeTzLejvktaIyivTTJ7uYiOd4PBKjY49~Y-X6iZ3SUUx6fW~dIydBvHoHv-0MlekvsY944a~ygR7NmYiMDt0rP5YYMXzOzy3DgWLwsQiydZjH6qKFlRqkUcrnCg__&Key-Pair-Id=K2SVGVHI7PEVAH,22f82406-3eb0-4c01-b831-c2e0acb0132a,,,,,0,,2026-05-06T06:08:32.942502+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
