j,Image,Title,Origin,Date,Medium ,Dimensions,Physical Location,File Location,Acquired From,Literature & Exhibited,Provenance,Essay Writtenn( Yes/No),
2021,,Illustration to the Devi Mahatmya: Kali Withdraws from Vishnu,Jaipur,circa 1800,Opaque watercolor heightened with gold on paper,"Image: 11 3/8 x 7 1/2 in. (28.9 x 19.1 cm.)
Folio: 11 3/4 x 7 3/4 in. (29.8 x 19.7 cm.)",Drawer 8,Kali Withdraws from Vishnu,,,"Sas Cornette De Saint Cyr, 31 October 2017, Lot 158",,
2021,,Kali Trampling Shiva,"Rajasthan, Jaipur",late 18th century,Opaque watercolor heightened with gold on paper,"Image: 7 1⁄8 x 4 1/2 in. (18.1 x 11.4 cm.)
Folio: 9 7⁄8 x 7 1⁄4 in. (25.1 x 18.4 cm.)",Gallery 4/28,Kali Trampling Shiva,"Christies New York, Sacred and Imperial: The Hames and Marulynn Alsdorf Collection Online, 4-29 September 2020, lot 25.",,"Nik Douglas, British Virgin Islands, 17 December 1982.
The James and Marilynn Alsdorf Collection, Chicago.",,
2021,,Chinnamasta,"Rajasthan, Jaipur",late 18th century,Opaque watercolor heightened with gold on paper,"Image: 7 1⁄8 x 4 1⁄2 in. (18.1 x 11.4 cm.)
Folio: 8 7⁄8 x 6 7⁄8 in. (22.5 x 17.5 cm.)",Gallery 4/28,Chinnamasta,"Christies New York, Sacred and Imperial: The Hames and Marulynn Alsdorf Collection Online, 4-29 September 2020, lot 26.",,"Nik Douglas, British Virgin Islands, 17 December 1982.
The James and Marilynn Alsdorf Collection, Chicago.",,
2021,,Lalita Maha Tripura Sundari,"Mandi, style of Sajnu",circa 1810,Opaque watercolor heightened with silver and gold on paper,"Image: 9 1/8 x 5 7/8 in. (23.2 x 14.9 cm.)
Folio: 11 3/4 x 8 1/4 in. (29.8 x 21 cm.)",Gallery,Lalita Maha Tripura Sundari,"Runjeet Singh, 23 October 2020.",,"Royal Mandi collection.
Acquired by the present owner on the UK art market.
",,
2021,,Uma (Parvati),"South India, Tamil Nadu","Chola period, 11th-12th century",copper alloy,"15 x 8 ½ in. (38.1 x 21.5 cm.) 
",Gallery,Uma (Parvati),"Galleria Ethnologica, Forli, Italy, 2011",,"Provenance: 
Estate of Kelly Brook, acquired in India in the 1950s.
Galleria Ethnologica, Forli, Italy, 2011. 
",,
2021,,A Ram’s Head Shamshir,"Lucknow, Uttar Pradesh (North-Eastern India)",19th Century,,18 in. (47.7 cm.) high,Gallery,Rams head shamshir,Runjeet Singh,,Acquried by the present owner on the UK art market,,
2021,,Krishna with Female Attendants,Bikaner,last quarter of the 17th century,Opaque watercolor heightened with gold on paper,"Image: 8 ⅜ x 5 ⅜ in. (21.3 x 12.7 cm.)
Folio: 13 ¼ x 8 ⅝ in. (33.7 x 21.9 cm.)
",Gallery 4/28,Krishna with Female Attendants,,,??,,
2019,,Leaf from a Gita Govinda series: Radha Vents her Frustrations,First generation after Nainsukh; Kangra,circa 1775-1780,Opaque watercolor heightened with gold on paper,7 x 10 ⅝ in. (17 x 27 cm),Consigned to Christies September 2021,39 - Leaf from a Gita Govinda series: Radha Vents her Frustrations,,,"Francoise & Claude Bourelier, Paris",,
2021,,Buddha Shakyamuni,Swat Valley,7th-8th century,Bronze with copper inlay,3 ¾ in. (9.5 cm.) high,glass case,A Bronze Figure of Buddha Shakyamuni,"Christie's New York, Sacred and Imperial: The James and Marilynn Alsdorf Collection Part II, 24 Sept 2020, lot. 954.","Ulrich von Schroeder, Indo-Tibetan Bronzes, Hong Kong, 1981, p. 89. Fig 8D.","Bruce Miller, San Francisco, 9 June 1976.
The James and Marilynn Alsdorf Collection, Chicago.",,
2021,,Bodhisattva,Swat Valley or Kashmir,9th century,Bronze with silver and copper inlay,5 ½ in. (14 cm.) high,glass case,A silver- and copper-inlaid bronze figure of a Bodhisattva,"Christie's New York, Sacred and Imperial: The James and Marilynn Alsdorf Collection Part II, 24 Sept 2020, lot. 955.",,"Spink and Son, Ltd., London, 6 June 1980.
The James and Marilynn Alsdorf Collection, Chicago.",,
2021,,Tara,Kashmir,9th-10th century,Copper alloy with silver inlay, 7 1/2 in. (19 cm.) high,glass case,Copper alloy figure of Tara,"Sotheby's New York, 22 September 2020, lot 316.",Himalayan Art Resources item no. 13749.,"Henry Spencers and Son Auctioneers, The Square, Retford, January 1996
Paul M Peters Fine Art Ltd, Harrogate, North Yorkshire
John Nicholson's, Haslemere, Surrey, April 18, 2018, lot 141",,
2021,, Yaksha ,Northeastern India," Pala period, 10th-11th century","Black basalt
",32 x 13 x 5 ¾ in. (81.3 x 33 x 14.6 cm.),gallery,A Benevolent Yaksha,,," Sotheby’s, New York, 29 March 2006, lot 207",,
2021,,Buddha Shakyamuni,"Northeastern India, Bihar","Pala period, 11th century",Black basalt,27 x 14 1/3 x 6 1/2 in. (68.6 x 36.3 x 16.5),gallery,Buddha Shakyamuni,,HAR 7676,Private NY collection since the 1990s,,
