Work_Number,Work_Artist,Work_Title,Work_Year,Work_Price,Work_Type,Work_Medium,I_Iinfo::D__Height,I_Iinfo::D__Width,I_Iinfo::D__Depth,I_Imgs::URL_public  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/a6cf323c-094d-4d7e-9a5c-6b6cf62f8ed9/200831_KapoorGalleries_BhagvataPuranaBook_0161.jpg?Expires=1802811690&Signature=Cyo8bVVIeFHOPZ7GaN9ldmIxcTPZUtgZlemmk3ZujB-7HF2Q2tBKCHr60pmjQd2iIIngGtQrPt2YH1N6cfI1jDsXIXUiYIYuRoWQbPixBGCIm2jSePl11ytZs4Zytp0hDsJLMrHp9r9MElipx41Qu5tg9cnkXeperrhXzcG5EpPH0ZFp7ZDh-9btzu7NOPbfrsnM8jZO5SAbMDd0~qm6Z6o5RdI9ILiNUHXt6mqVa5jz26BFu8~EeAm3G5cGh4EeBNP3lMZcYv8CDNSNeT84Q4zMgUWZM93tGDaGugW~L-jAEy5~0zI9W6kT1J8FOViaM0AgSXNXk2n18KjiVRgD7A__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/7f20b823-fc5a-4395-921a-84bcfa2e9496/200831_KapoorGalleries_BhagvataPuranaBook_0160.jpg?Expires=1802811690&Signature=qPYlNo8ywEUz4~kO~BrvWUL1I2SkFjmVnRg~uDZ9C26IIdDmWP-GPtVrjAcV3ERSAMMCdoAsdJCWMadazv3B7O800MWRFUZ~e5WtIbfc2OOTxGYfNJoBjLkS0fLzFXxEPLl-u3mZhfB-15PSVNuc8hI12vlQ1eR-V5WpUxV7HhL7rznvgCWWP0qcARRlB5z0BHVQOkKjhCEAJrmEtIJ0eBh9nQU319HBFeFYJdbfQ4laHeJujzuVEGDBojuD536paHYP795zAAQpIYNR1tWfMnr-UcuIAhqptAW4zOxZzwxUHK8lhGoWTNQA0-h9X657TPookXLChAx8DS2Cbsp3Zg__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/cc03ac31-c000-4506-8e1a-0e281d178a1e/200831_KapoorGalleries_BhagvataPuranaBook_0028.jpg?Expires=1802811690&Signature=ABoYUAlr5hTQz0v6Piu3~kjSaa2PeZZP-2AWJlA3RpvxTOC1NzD0OMb4OLwAZwyaUHvb4Ha-UGU-Fvnt8PrwFEGPAuoxgaZRcQK46q8KBJbB1jNhVoXV0DJn1PR0Qz7wUX6DK2kEo9-FlWgMSQEV5J0qNufTBjARBdmcxwXMoi97E50zoZlx8yB2VKg9snAXVQ4pY66SgOoqb7ZkwHkr7UVzNOGsGeDJ1AqnMo5dmXQjeV3G8QG1OA5BEvXKo1TnCjblwlXEA2dgl0Pu-VXyfN8HLI-CoymGInqQQp256N9mO1DnK~dA18qEqDqRsZLwQCTKGSocVdma-9su5byBiA__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/230b22dc-e85f-47d5-a9b7-294860a253ef/200831_KapoorGalleries_BhagvataPuranaBook_0002.jpg?Expires=1802811690&Signature=pUxuRiAEOYWjLJfA-gG0FpUAEMwtwP3PB6Oq9XmRXpxJfEBV6lnxxi2cvdLHYuTintARnbq-I3MZJ42BHNXHAZSsDCNmDgJ2ZyO4RxV-AWc8VKNpyA9HixK2q1dSmKqrRFyX00kPYhi6k7fuGuKGvX2qPlZeYA0yoGLxjAl6-G3mE6y6VTDoID-R~OmDuCpxo504gJlcvH9-3oBi03pbOioMOTmxbaX3y5uaD-oXXrx5TJ8qHUPKltOXbvfcKiQ7xqhkQhSb8iKSxwypU3CqWdkEX0LrWh61K~IMovobowiP2rs1bh1dMpmwjdM2Bu-JtuJEioo1hiBc43gCs~OX5w__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/7afc4ae5-a3a4-4766-817a-284ead969261/200831_KapoorGalleries_BhagvataPuranaBook_0162.jpg?Expires=1802811690&Signature=Uo~pe3kNE38GchEiLxWBHxCLZMHzctq-5QWpICa73l1pPlOnk9uYsZp3ShoHIgkwOLY46YSSu~ttIGDejbWULoVfYn0Qq9x0iLwv0A~OEapJo127ueb4xW1mmE2og7S-BCZxKsgcD4HiTqeTiEk4kHxZponPFF4uiG-ebWDHEj-tqW57BIyUDkLpFTq1AfnQse0WXyLgPY98JoJ0QhFMam8WgF-Q39ptUCeRYJc67z2cLbLhQRK41Ns3MylUFJh21-F7fcgggehGrhIks4A3f3lGvdbufo26nHmJeP7o9Amg9B9rpKrFlLcJwdbMo3M-yS7hGEwE~7NrqkzSea7ZPA__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/165e28be-2ba0-40ec-9749-20e759e1e30f/200831_KapoorGalleries_BhagvataPuranaBook_0163.jpg?Expires=1802811690&Signature=AWGzO4nzeB1zBzm0-apmtkmHkr9t7~ue4kIHdpdUATNkh2prgXWVdq~C3Uxfwe9oY5rsAPpj4qbZj6vbBhIUfQMLBCopsVw~V6lr1XpO5RAVCKHHa-faTfhyylVo8JNr1ea74w7ECTeyc~vRmicGhCyTNgmhF-ah9~F4gP3hw1-ZTLlZt3qVvFl9b5JCFqJw6ihTDUP5E2UIq3yS-Bipjq2vqOty~Xl221S8XZgAKvc8-uucF0uaTtZAOBnuoPwoJxf0Pgb9hq81~w5P3WrAVxy8vsXn7q1zWkQKrC8fOe4-aD2X3HjEUeKbl-xpkGu1da9u9BWQMHSM1L-n~UOucg__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/099dc8d4-0c63-44f0-9fa6-4fd46e866883/200831_KapoorGalleries_BhagvataPuranaBook_0017.jpg?Expires=1802811691&Signature=Q4xOtf2BYBjaSOBsKVBQxI47ruP4YVhNoVEvvBu3chZwX6RulTwhIiV~6bwUsMSLUfGDmNem6fTgNbTlSmhcOCBCevwuAdlR1OjqhbCbegQH14~Q8FdYA319RQT59poxhdInf0doKLXCg8y9-3pF835eIp-XQVtAcZzbECHo-6kfaDOwpcLlsx1GvTM69Dkb6yS09TRsP7u9RZrfm8PMCOcq4fZIGD8D7dadze7njCQdAH7bmKGtLawdXUVQT9ZZuMPcwl2BND87SMkvoujszxEGnV~fCx4uexoLRn5gCW1np9YN8ErFn09LCEO9vHaFuojMrgDNA6WlJVntr9Gscg__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/9770c31b-378c-49e7-9adf-360ceea7c271/200831_KapoorGalleries_BhagvataPuranaBook_0179.jpg?Expires=1802811692&Signature=b0zfu0nyThL4HVKez8SOFaJ9yAZndgytw2XfmT2A5395kcOyMnz0aCRfXTomZvRird07XAoRcfGBKJW~HMxtgQVAuaJpevcE855XDZzUXYAEqcfn4qBPiU7-6SVDpZ~k9kq75jOuhsqv8gYX2F2pJqnkfPUCe4Xu8e1bUnI9Y2ET084m-P~r4SA3uguw1DfSdOdRgvtF4dyzJh2aHRq8u2bFFBghxtjlZSqgaL3efk86l2XRhX7lDdwu86ZRz-OFc2P9j~xBP428D6Uyepxds3AsFiWc~GtPt19jE5X0Gk9KF3BWeDhb1Ujs6w7l~sUJGh5g4rlVrNpluXa075ZQew__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/5994059d-8796-41f6-834f-741f22d54d9b/200831_KapoorGalleries_BhagvataPuranaBook_0056.jpg?Expires=1802811693&Signature=jZ7BwQofsGfsVTONHC-0rSXK8ytkdSV0OdPyqNeCnBkh6yAXZOuMAAp2QWKiZf2K35NHqjqS2CXT7OfUVmBeh~mAEYdkYGWyw~TNAiPSBtd0MmSnyV563lBAJwBfDyrXB6-6SWx~T1O6C0Sytj0q1Xoa6Hy0vkARBq31ToKB8xs4Zl2-blGZx3v9OCkpOnaj5Au2EivIlHUgVIFfZI0ntrHWPki2YvgR-zX~slOVgyHYy5qEinRH2mzSdgur7zuRJ77V2fxHvAJQWlekqhw1RPiEAdWO80VHVs86oJYsNa5CK~A9-SxBW~z~8aaIPwVaNg7Q0pe0UL20uavZw5ypkw__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/ebb8bea4-4f19-49e2-81d2-40350421998f/200831_KapoorGalleries_BhagvataPuranaBook_0042.jpg?Expires=1802811693&Signature=f84~yfPQ-yq7VV4-XydyFDHhX9S-9Wlb-yOtZ-1vzjvc0T6AMc6uGu91SSCcurK5qpWkXbuxXjMkzjYanQlSOPj7QFECBEqtHNX-bwibhwyFnupjWotpDmVbG5mTgnIuH2cY9EIF6dX-DtGbmLI1O9weL9TmmMb3ds-VdVfVikFqSywU~mGk7ZjzTot6DFUzdNMKb09VVu~fmlWJyozh3pfhYRn9yBt1Rqo1BeAwbNdFmyvZ4YhHh~kQlM6mhFXAVVs71LtGLiaEjs0NlwIsSRUdsDeVXjeiQc~ZOoZ9FJs0i10RJ9njsrpUQlRjAM~4kGEVBZz-mWzDwaEKseObfw__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/b7a8849c-97e3-4d31-aab3-6f7f3eaa03c0/200831_KapoorGalleries_BhagvataPuranaBook_0095.jpg?Expires=1802811693&Signature=I9MYk7ikRr9PES6EMzyy7rWKYrph0ZXdqS1zlGQAMmjuiJ2xYkoxkKsuepz7dpJeT020HIdoyqhZCndik6uJGWUOX3pUEusbJAYgqRckYSXHVoHJKa9Bpwx~irG~eKS4Z7zOtOnzwJqAiVAracpCj0M2YGWtQVrjH36l1ySDy0E41gRCeZMcpbM88toUSGTOws9CKoS7ZDPIGshlzaem99DX5EPwLuOXl7FQtZlVk~McHp-M2ByvFRS8EfL6H2-2qukpktAMcQpUQLp~ppEQpcp1J8BeT4oYi6XlbbYMxHWQegkds20ZfCaadgUsS7DHjIDT2FGyiYjGEe0PCtKTEQ__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/c0c58da7-a2e7-449e-a983-5d7521390d9e/200831_KapoorGalleries_BhagvataPuranaBook_0081.jpg?Expires=1802811693&Signature=akJ-rrBhu2O4vKwxKHKoc2cvdHzDpPaUXthIDmo7~wkSfyzExu2KFV1eDmHJQChuRZUmv~FCnEe~THALI9DDGY9F9Ftw7VHDF8wvvDD4MxhIbyYQ6J~Nmn-nGfq3407JSdVkPBnZxqawcFS1bdGfcJy1UqEUOFPavZr2QdnTUH7cjbCh1RvVXuFtEqrMyHC6fSkL7nRlh2DCnrviEVckBMgraky6~4y2nDiM6QzIXHQTCP7hUs7GFsQzS2~~g1uLQUh9CRb3iBjIIBbMQqPnIjZunv9LnIGJlUMLvuKCWKZY~UQwoF1OWqc3NnVB-b8ZvpHYM7i22z~ojw9sMqVKbA__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/69907163-82d6-4581-b071-561dfdd22d1a/200831_KapoorGalleries_BhagvataPuranaBook_0122.jpg?Expires=1802811693&Signature=EQJmjkycevyOGVJrnSoMu~V31-FFilPgf48-QRBjqZbC3g2Fe-GRlCcUPjJL9U~Zmv~RFp8uWUvA4-UTxVPbvEzGqA8KeUEsjzDRsEvf541F9WrVrTbWdRBMNUAI50wjvXMzuhAkI7~VJ1B-vivZobP3VXwqn1Z3wNb~D~x6EqNeczgO9TuWGz6r9rm4C-pVZDEeATE7Ti8eS~hN3~5-uuqM4GA1zQQ1jmVPG1WQFJCCDjJD-LpEYSRGvJAgA5W7blzr63NI7JOwR5-rDbjt1KWki17K8M5BF8yzTb4lvu0mPVXZcHu4hsxhr05olKDEmPuAuNa~MXzVFQ7S0pRvYQ__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/baa936fb-b56e-4034-8d86-a3bee1960556/200831_KapoorGalleries_BhagvataPuranaBook_0136.jpg?Expires=1802811693&Signature=KxSW~EqLBu3IucGM9eL0stqGtpFJJMIgA7TKBDC55EcumLYRJJJZkveyKR34jKwemFStnMKTBzZFuC0uAIsYa70NuUJdCtx27r322ONLffiCkpue~PFZOkdWTluDAERt4wZOHOM-EWdQMRN2EyBrdPRTc3~Fup6Y-orT2QHK8pzbLzb7PoQp~V-h9RV2gOuZrKzvbcQUSTOyLqV0sOgTBg6Q923yH13kVLauBrX4Q8UhvxfIebHauMYfppup-kzFzWPVXXxukFaD6YbnOx3Vgo8Ma2~p~Xp~ao16xndfKc1A30l14frG~crAcg14W4GD~QpCe3a~xe55KR5xvazrcQ__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/2d946ccd-cafe-47e1-acb6-351c9f2705c3/200831_KapoorGalleries_BhagvataPuranaBook_0137.jpg?Expires=1802811694&Signature=h-j5lAYxpHwvnR5dyXyXWMUc6WeSb3fTPvXTgC-Ola1VfBjPPJxnqfSWBXjqXcXAo3ebDLp-bE0jhC4F9DUln2fZ6spstgTgc-k8jz0ghcgWaEXyXOMEHeQYTW3pzpAMAL8vq7Nh6ZpMg901ONM4kjTkwaNj~yW1Ljp8HsDW6nydpfWcf-zioFoY7TxGqxDaT111GHrcD7cu7oqSB3vNYxQe4n2SlMMZz20TT68DRinRxiPyBsn9adTeZWaudZo-koG9FNZkbM~P5aXEEQjrj0KXxVOLmmlkkjQd-OwBuBStKpG3SzZ6lWa6x5StzOthtHmGW~3AmpYJdqEG491R9g__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/7a8ad2d4-546a-4d58-ab01-39ec21a40ff1/200831_KapoorGalleries_BhagvataPuranaBook_0123.jpg?Expires=1802811694&Signature=M~LAc5YQSrArcXVTzOgg-87CCXnOHAhQYRnp4MUqZUumVjAMIwLUpkbDDMqTOFUp8ONAK-oJ8A5meGBXuWMq~lTD9lgYNKCS6vXrsyxLjjibScMM-e6KBLAXM-z6hZGqOhCPY3BCmCm6ufAZ1xFcYSduGDHeAjnqetECu~~n7Kwd~J9Wf6f4eq7l09sozCdw1XQnOqY4dG-cMe05QS0yhVZLJdQA3HPJukrAeCV5CzpzAIj1c8sOzM13SvKKLbwdeuzW4ULknV3Z9kfecEry0VgQNfi4ipMZTWctyolfe7EakIVRsDdb1cXDscCbMGe3ksTIA0V-rN9LIc7sO2rG-Q__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/441902dd-2aee-41c9-a2dc-1b382ff75f7b/200831_KapoorGalleries_BhagvataPuranaBook_0080.jpg?Expires=1802811694&Signature=zkLxPEQ2UdVPv88TT5X6CO2~D28uGnunGTLgqoHMf4Qhpe6SlbWgQtw7e4TM-I5AMIrV7wNZ7gj3-sJ10cbJrVRXLkpHzHgpaqVrmvNLyc9Z2fApHVJrTrPp0gZOxAAYI1nzaib1MIHlWGF4v0Oc8inos5IwRT-TRGz4tCf-6cBDVXHJLuUkR~JtmOc8k78yedW8EujTou44vDW9yktK5Yf-dBjjneje8DC1jfOozJXHTTlcqa7YZ2GcXwsRqQKvYAXxBDDzo6SFY4yavuTiHY9fDYG9izgtk~hhZwHE0OgN43-~WEIEaQSPeu2ISsVh65l9v8J7ebRm2XG2rxozjA__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/88ef53e9-b6a1-4511-b345-29e273ec766e/200831_KapoorGalleries_BhagvataPuranaBook_0094.jpg?Expires=1802811694&Signature=U1md2-5r5dHuSmUEyaWOxh-vz6IzSBVKY1OIOZ6EDTX0ob2TUykmwXwD3e82v00Y1hAjkYx7vrE8KObsdDwuustw93~o7~lBlml-UFWTFvgKOoFopEFFSj5j54GTy28Y~QFmpRfy9gd~TwCKgE3u9VKestX2OaW1bDJZ0DELKQwvwOclHISf4UGDDfNDMLFw84tsRciELSCUzmQ8e6x6949B-BGc4jleiqOH4Xoa0NnScY8KU0Tp7D0FYpaZA1wxafSVUAxxevZmNLiHzxKq~QnsAUI3cRx2SWDlg3krrZx7lHyHGWNO-ZZqYeXvhlw3sTvKncWmd68hMFjW3R14uw__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/fc925efa-c6e4-4185-ae71-2e523cfdf374/200831_KapoorGalleries_BhagvataPuranaBook_0043.jpg?Expires=1802811694&Signature=Ru8T~bOcFYhywiqmfipF~zVOXRuUHNlp~RI3i0GRBRhj75cB6fv~L0xckcl1Kgw5SSVv5BOJ-eAl2jjfJYVrac9gnolVss9f5nnH62j~gJksQk9bHFegNAfPLZ-k8WFUT4FWb-YhD1p7aX9Y3kxNoFiKJttfLhl0YuJcA~6BQqbragDY~EKyL~2Vt0hITKsL6qwVZLsk8Q~a8LQapK4J9ZVAcWiZYZ8bj5j9jmisSagchBRmkh-bNpjicuEQfEqvJQUIpKajP0NgczcnFSM0gltNBtThTU4hB~eAvaEjDJx~Urquapf8-2PEgflrZ8bs9rd0zsYQYSifmTKMWTEOMw__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/9b5e27c2-fb88-4525-a131-d74960c3990f/200831_KapoorGalleries_BhagvataPuranaBook_0057.jpg?Expires=1802811694&Signature=omNu1zWICaEDC7O9JXwcgiH~28kPCr45R0Qym3VlNtCKBGzHoqxqiCTpbz6FwbeHmN0-WRruR87pUdNKWT1gXcaEeMmejRQrEYWLcLjxUfmcbuneUXXj66FnpX7gSmUMBI4v0oTpgYy6P2fRLgGlzqy5vU1gpXMToFYelCV23-4wmLfl38Z9t3nZFgj16RU6BMCCJNYBvhnPDQcNP-2wXph4VJNv-5rU1I4UxJr2YUYPORgKzLT4CZmpvqbdv5xLAn3hLGF-LM3juUj-Rb6yTsvbkzYqnzllNFQuOCybGMfTuIFidPybzWAHYvKOHPM1EHi0dgp74xl-1bR3DIuCzw__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/201895b3-efef-4d72-9eb4-c9b0e472495c/200831_KapoorGalleries_BhagvataPuranaBook_0069.jpg?Expires=1802811694&Signature=zmbaHW99A75bD9hTK4ez-NgtBnuBg822sfDsPbpv60vv9DJfwdh1xWvmHmUAVnBAk~BPYzWYnyjff0miJtxnY9Xacmc9W2NusMSXQzO-mhUsPxLiCO~RRbVkq7vQBjiMBq8~PZmXZn8Xz0cYLx9ULXfmIe5J9oMrOFc1brEYxRonXd1KuDLJyGAHWoInH4pE0C37JrhYRPdEPHmw1pyejzY8Vuy51CyqIF5c~H3wZGm5btiSHBCzW6CTErp1QCR~mBzLzu7herBJNQIm34Xaz1EjJJgRO0RHY5gOzynt18M6cDzeXnNlCWSSizXL7ha7UfrBnHr1OFj~rFnhme489w__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/146bc4e5-ad17-481e-89fa-0728a5d9e88b/200831_KapoorGalleries_BhagvataPuranaBook_0041.jpg?Expires=1802811695&Signature=VhtJDvx7apMMYR2dkYxVQVSekveCLBtMcBA92Wn55ZnhCzy4WMWdQBq51PbC4atHNWB-KkOYvi2YgNyvKwRlyGmB-Fj91bas~mBYeyihVVU6dVnREmr28TQ0iP4OIDrz-vf4-Z4YwwMgNPwAXOu1goKlfllNmFXd0slEb0V35cTSfNVKAQ5ZUWlGMkK8mA1I-8kiurXTOHLxfL~a2cK14g10ydGR6VxcaIAo~2~ryMPlnIwc7oGAzy9xbnoQ6U1z15UXaGCz-Ze6~Gj19H5UtuZgSYNTDZW5TWEwzR2nbLj95x7qAqu6np-kaXUUJr7k-VfeOSd03Isi33MXWfCZsA__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/1fb46ac2-c1b9-41e8-b453-8632e37b20e9/200831_KapoorGalleries_BhagvataPuranaBook_0055.jpg?Expires=1802811695&Signature=jnAHOpJewQsdKysMIDV9cWdYt5~S1VY0ZSjMOIgscXvyvN5DMw89z77sYYQJGm0f7pf1qzqwS4LQtATO~53Gh6EtyHb-4B4jHdFLGKpmXH~ievEMDXCGoT0IDeuA-drTqIP5K8rVzkKmp1BcaWl7sX49JD7H595gfY0z7K-gBdDT6XlzI8Y6M5mOnvZDpi5mb8nLKP~FqOs1dml1K-1LFmYT32GFPauXQ4kWnIeYpYP2rTXXba1paK9ZNDo2DsicM9SG9F0Kml0ik1zfK18l6SZ6PgsCXHiWgwKs9GYis3W3TrPDBYdHWIMy2izi38pIOPCp7FleuJ88cByIp9w~BQ__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/8a78ce71-804e-4dc9-875c-765cc936f10b/200831_KapoorGalleries_BhagvataPuranaBook_0082.jpg?Expires=1802811695&Signature=NnDAQROrRATSFRKI54B9Pqt8kmoWmYctzR4P3QUXB19IFFkusSonwzZ3P7PcWwXWjfj3H6DAS0uLSP-Izse0TVHy3ORYJgHMoSGx9GzZRGvi7vQtveDHYVE2YSMsY0~pkDW~PwuV5YHMxGSWSLG3soXaDz7z95sm89BwFw8Ip3M0oktcY-MZCMlevUSAyt2~7G3U3DxTIJkl~5F~FC59WgyUpYYjQWqzQS4AMBBUDCQeqadaCU9IWqsSsFTqjtrSemYwOrs7JkyA4aRupqI8RXgkHaFkATTQuMvGsPNyYBDFUWuf1y811Xg5WHb9P9KMyE73D8N4zzYakd1X-tcdYw__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/34322986-b112-4240-97c8-b64aab36c65d/200831_KapoorGalleries_BhagvataPuranaBook_0096.jpg?Expires=1802811695&Signature=fCpJSHQ5cjRUTKnLVy27ulRzh73llD909q2tM0HQ5TG~cDS33DpDOr7YFhLnkgvF1YtKv4iiU62hmb14pyFG91kr~zjHZKLjlvtHoX6dlTMWvvg0PPlYWEAgqFlPt-CKXBm5oXPblCj2xCHsE6aDDazSfmD2kl7H7JA-klb3S1jIV~~GS-DzMYPAidZbAZXVSiyn1LAWQDd61Ulk2Pl5y-vu2bRLbAJ~TPS5uboe7XSahNOgfIcDzM~tWdupga7a7tF3qUrvlyR6kzSQpPEkDAbe15RmX3VH3PmmUnDd2S0DFSzOR5ImEs1jSDJUI0HryW~xEJwlOqF9Ei6CTtZ1Sw__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/01737736-a2d4-4641-8497-2241a37089e2/200831_KapoorGalleries_BhagvataPuranaBook_0109.jpg?Expires=1802811695&Signature=mC88pQc~yuL4vl9Bimh5uruoEGd4sqb73F14qJCVhpJG2iPFNhVTz4QjieoF~GFkBftVQue9qswkicRZDSKBfizt5zLKW6MvqDu8Y-PxBZ8078DrwV~T-MMPJpPWofCy8m9AyuGv-TN6IBHXLzAuBEUrzQps484qEt62G3hrXorhrO53LO9QHdI-zkvlJ30IVmjcmoQAG9gZQx7C98jt5enAabcBfvM9hbqEiCNURN62gJ5kXNQtljlcp3XCTVWBLySvmYp02zSjJN1WNRSesLMGVRZHYeGLQvR-kYVT6djbfqUlFW5I3yeb18ziTUL7z7MYy7TSVj1svgG9NctV1Q__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/c01d8caa-69dd-46f9-a8ca-18e3e4dfc80b/200831_KapoorGalleries_BhagvataPuranaBook_0135.jpg?Expires=1802811695&Signature=ibbgy23bAp1LxQ3tLS-oeGcxaGX4AG-JI1Wbat5Y5FD3k4WxRMSkQLq-6YUy5pwmWsNPXYYR6O3F~MC-ejV489I9fK5fakubCjDvTjwMlm7EzwDOIMdLNTMNsrcbakoZ-AUK33Bs5vICouz86znLBeJQ0Tl9Uta-xDIrJ4RPWOgpIGiloYEmYrwTGsoTTDlawV-laoT7o3Q6FP9edu4~zTeLnxfr2E0nE3eLy9z8U~BcWSMhPf4qQuaokx0MAlfuaIbRkEb3JEJkjedLKbGf42-iYwm6SPLQjEY2oBm~OJnTj3N1OOiUZG24RSLBMTXPgmiWmSYnCF5KNprHvXluww__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/a81d1bfb-e9a1-4b67-804b-c5278c7a83b8/200831_KapoorGalleries_BhagvataPuranaBook_0121.jpg?Expires=1802811695&Signature=Sd9mMFNJ3WRafwFgl2lLNvxLfCRJMoUQXEdmfUrerbaK-lCsGjWraDq-XwiK5i~r4QmXKBjeNSQwPb8jqBcpkEjqJ~q-iZr0MdCDfPqC0DbhDlOAzgAR9pi3S4RqfWFyMXV8FCidNHcbX~kz33DXQAI5OLTYn2KPvrBILt4IpVXy4U2JUyElL0CCTJ-S1V44SAgo7GrsU-b8u0urOz4B0PD2RgNrVCpyc0yWCibz-wrhbu0zdYP2D0zM040EFtpKyiJ~I2F6BWRJgQ4IWG642TymsR2O6Wve1DVR-x0B5ZNICeY4QsDCdi2WZiC5FQ0WD3JxgUO-RqDzhLyoJ5o6Xw__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/041f942a-77ab-4f84-832b-cde342857cdc/200831_KapoorGalleries_BhagvataPuranaBook_0120.jpg?Expires=1802811696&Signature=rlgbJcdccuZ8rg-1ElA0EYzccRThDo7Ve3wryAj6ANex8HUOBYGWq4akjCP2c3f7zCOiZNNrpdA80-YE650l2XJO3Kd6Tty8Mnh5KFWgglH5G8BkkhNjlInGj1fRdobR7GHDIcqqkuKU~Xc0~V03TF5wxS4v8O3I69h8nPpBmsNzFQ1ef5eoSAllMyY-0XoOA0AC-OGlQNwekXFKtmbLrtAz-JHqwqscdKSgOXoZoV-ekD~fBF4xq0D4t0geoLrqj8D8j4WtTLExQZcxhyR-j6-4voFLMffUAitQDJqEfH4pJ4yrcGI0eMgoHjP4TAPC5FNeQIaHHqZ3fAVSzacRqA__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/9313edf7-46e0-4364-8a90-f4cce689c697/200831_KapoorGalleries_BhagvataPuranaBook_0134.jpg?Expires=1802811696&Signature=ba~DYmYTVwlNezLc0OtXTmp9ovEMhs-upJz~DbgwJFFSrwI5SoFuACYhzBq-Td6oIrbDgS0MQK7cOJ20-mvOi1odg0DNXxTvJdh5umNAuVpkjxCrYzre-rVtRSkLpliqmvG68kL6KoYzQI-VFrj8pLNKYOlOjbg2E9nS6PqwUrPZd9Af9~rhDHVsratgx0usVZQrIh3fwFuDm8r~CWGA4j1e4yd5Ys~8kopfVlS6K~gghDvbC5pQIKWZgSWWjunsdB4kDxsgLPkHHZCfM10lSCjncsH0NDFM5--daIjkOeJXHkTgLhrO4qoAPAEtKznTNZQCf-kbIcGlIe200TDQZw__&Key-Pair-Id=K2SVGVHI7PEVAH  
